127.0.0.1 - - [29/Mar/2022:16:55:55 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:55:57 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:55:57 +0700] "GET /new-jdbc-2022/trang-chu;jsessionid=BA44F2BAB1FBCB4D2374341A6478D38C HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/admin-home HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 404 1151
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 404 1170
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/css/ace.min.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 404 1149
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 404 1149
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 404 1159
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 404 1155
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 404 1158
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 404 1151
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 404 1161
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 404 1149
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:07 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace.min.js HTTP/1.1" 404 1143
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 404 1149
0:0:0:0:0:0:0:1 - - [29/Mar/2022:16:56:08 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:01:49 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:01:49 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:02:16 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:02:16 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:02:46 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:02:46 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:03:41 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:03:41 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:04:48 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:04:48 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:05:01 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:05:01 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:05:13 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:05:13 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:11:54 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:11:54 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:13:02 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:13:02 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:13:02 +0700] "GET /new-jdbc-2022/template/web/css/style.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [29/Mar/2022:17:13:02 +0700] "GET /new-jdbc-2022/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
