127.0.0.1 - - [28/Apr/2022:11:07:41 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:42 +0700] "GET /new-jdbc-2022/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:44 +0700] "GET /new-jdbc-2022/trang-chu HTTP/1.1" 200 16171
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:44 +0700] "GET /new-jdbc-2022/template/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:44 +0700] "GET /new-jdbc-2022/template/web/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:07:44 +0700] "GET /new-jdbc-2022/template/web/assets/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/admin-home HTTP/1.1" 200 7586
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/font-awesome/4.2.0/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-2.2.3.min.js HTTP/1.1" 404 1152
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101986
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36668
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39715
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:08 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241694
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:09 +0700] "GET /new-jdbc-2022/template/admin/assets/font-awesome/4.2.0/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:09 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:21 +0700] "GET /new-jdbc-2022/admin-new-list HTTP/1.1" 200 10361
0:0:0:0:0:0:0:1 - - [28/Apr/2022:11:08:21 +0700] "GET /new-jdbc-2022/template/admin/assets/js/jquery-2.2.3.min.js HTTP/1.1" 404 1152
